index,Rwp,step,frac,scale
152,14.95890935151763,粗调 (Stage 1),"[0.5751739144325256, 0.42482611536979675]","[0.831513524055481, 0.8315314054489136]"
153,17.368177889059062,粗调 (Stage 1),"[0.7066531777381897, 0.2933468222618103]","[0.7365576028823853, 0.6568390130996704]"
154,14.359605906122885,粗调 (Stage 1),"[0.5099021792411804, 0.4900977909564972]","[0.9125167727470398, 0.9406266212463379]"
155,14.503393324317774,粗调 (Stage 1),"[0.5652773976325989, 0.4347226023674011]","[0.8282347917556763, 0.8429927229881287]"
156,16.50720721861168,粗调 (Stage 1),"[0.5910512208938599, 0.40894874930381775]","[0.890487015247345, 0.847957968711853]"
157,15.245925505724028,粗调 (Stage 1),"[0.6596670746803284, 0.34033289551734924]","[1.190494179725647, 0.8860630989074707]"
158,16.437845001067004,粗调 (Stage 1),"[0.47640499472618103, 0.5235950350761414]","[0.5837295055389404, 0.7835521697998047]"
159,14.965880464093093,粗调 (Stage 1),"[0.6029782891273499, 0.39702174067497253]","[0.93744295835495, 0.8539636731147766]"
160,14.452570564188614,粗调 (Stage 1),"[0.5731092691421509, 0.42689070105552673]","[0.8287653923034668, 0.8292508125305176]"
161,14.508634845712468,粗调 (Stage 1),"[0.5738934874534607, 0.4261065423488617]","[0.8413635492324829, 0.8424466252326965]"
162,14.514270996831916,粗调 (Stage 1),"[0.5848566889762878, 0.41514331102371216]","[0.8333072662353516, 0.8283591270446777]"
163,14.65265374980373,粗调 (Stage 1),"[0.5854091048240662, 0.41459089517593384]","[0.8228929042816162, 0.816569447517395]"
164,14.412635239662078,粗调 (Stage 1),"[0.5771771669387817, 0.42282286286354065]","[0.8498159050941467, 0.8415047526359558]"
165,14.37285650066896,粗调 (Stage 1),"[0.5778777003288269, 0.4221222698688507]","[0.8411068916320801, 0.83724445104599]"
166,14.477773663631796,粗调 (Stage 1),"[0.5800055861473083, 0.41999441385269165]","[0.8297955989837646, 0.8233742713928223]"
167,19.065724179191868,粗调 (Stage 1),"[0.24419276416301727, 0.7558072209358215]","[0.30735254287719727, 0.4657338559627533]"
168,19.065724179191868,粗调 (Stage 1),"[0.24419276416301727, 0.7558072209358215]","[0.30735254287719727, 0.4657338559627533]"
169,19.06508867761463,粗调 (Stage 1),"[0.24421542882919312, 0.7557845711708069]","[0.306790828704834, 0.4650503098964691]"
170,19.06508867761463,粗调 (Stage 1),"[0.24421542882919312, 0.7557845711708069]","[0.306790828704834, 0.4650503098964691]"
171,19.08250749968503,粗调 (Stage 1),"[0.24928094446659088, 0.7507190704345703]","[0.311125785112381, 0.4723348021507263]"
172,19.08250749968503,粗调 (Stage 1),"[0.24928094446659088, 0.7507190704345703]","[0.311125785112381, 0.4723348021507263]"
173,14.249481897793903,粗调 (Stage 1),"[0.6179507374763489, 0.3820492923259735]","[0.7862837314605713, 0.7757189273834229]"
174,14.66569893134036,粗调 (Stage 1),"[0.577824056148529, 0.42217597365379333]","[0.8373777866363525, 0.8357396125793457]"
175,15.003979491294242,粗调 (Stage 1),"[0.6141149997711182, 0.3858850300312042]","[0.7847501635551453, 0.771431028842926]"
176,14.532290197442672,粗调 (Stage 1),"[0.5798707604408264, 0.4201292097568512]","[0.8338369727134705, 0.8307070732116699]"
